range_name,size_mm,status_raw,status,batch,tiles_per_box,m2_per_box,tiles_per_m2,boxes,loose_tiles,qty_tiles,m2
Balti Grey,500x500,Current Stock,in_stock,03/02,4,1,4,1,2,6,1.5
Balti Grey,500x500,Current Stock,in_stock,10/2,4,1,4,2,1,9,2.25
Balti Grey,500x500,Current Stock,in_stock,05/02,4,1,4,16,2,66,16.5
Balti White,500x500,Current Stock,in_stock,05/02,4,1,4,2,1,9,2.25
Berwyn Roble Natural,85x600,Current Stock,in_stock,03/3,25,1.29,19.37984496124031,33,10,835,43.086000000000006
Berwyn Alerce Natural,85x600,Current Stock,in_stock,02/4,25,1.29,19.37984496124031,40,,1000,51.6
Blackwater Slate,600x600,Out of Stock,out_of_stock,OOS,4,1.44,2.7777777777777777,,,0,0
Blackwater Slate,300x600,Current Stock,in_stock,AF6,8,1.44,5.555555555555555,6,,48,8.64
Bloka Beige,800x800,Current Stock,in_stock,C49/7,2,1.28,1.5625,34,1,69,44.16
Bloka Grey,800x800,Current Stock,in_stock,A50/6,2,1.28,1.5625,37,2,76,48.64
Bloka White,800x800,Current Stock,in_stock,B49/7,2,1.28,1.5625,21,,42,26.88
Bloka White,800x800,Current Stock,in_stock,C50/7,2,1.28,1.5625,1,1,3,1.92
Bolshoi 01 Negro,200x200,To add to Special offer,special_offer,4/2,35,1.4,25,13,13,468,18.72
Borage Greige,600x1200,Current Stock,in_stock,005/0,2,1.44,1.3888888888888888,7,,14,10.08
Borage Greige,600x1200,Ordered,on_order,011/0,2,1.44,1.3888888888888888,32,,64,46.08
Borage Natural,594x594,Current Stock,in_stock,009/1,3,1.058,2.835538752362949,33,3,102,35.972
Clubland Grey,450x450,To add to clearance,clearance,06/C3,6,1.22,4.918032786885246,14,0,84,17.08
Clubland Ivory,450x450,To add to clearance,clearance,04/C3,6,1.22,4.918032786885246,28,5,173,35.17666666666666
Clubland White,450x450,To add to clearance,clearance,5/2,7,1.42,4.929577464788733,13,4,95,19.27142857142857
Clubland White,450x450,To add to clearance,clearance,C3/02,6,1.22,4.918032786885246,11,3,69,14.03
Cortona Avorio Honed,600x900,Current Stock,in_stock,F51/6,2,1.08,1.8518518518518516,90,,180,97.20000000000002
Fantasia Glamora,600x1200,Current Stock,in_stock,017/0,2,1.44,1.3888888888888888,10,1,21,15.120000000000001
Fantasia Paradise,600x1200,Current Stock,in_stock,020/0,2,1.44,1.3888888888888888,30,1,61,43.92
Garrison Marfil Natural,800x800,Current Stock,in_stock,05/8,2,1.28,1.5625,27,1,55,35.2
Garrison Marfil Natural,800x800,Ordered,on_order,07/8,2,1.28,1.5625,36,1,73,46.72
Grunge Beige,600x600,Current Stock,in_stock,J49C,4,1.44,2.7777777777777777,19,,76,27.36
Grunge White,600x600,To add to Special offer,special_offer,J49C/4,4,1.44,2.7777777777777777,4,1,17,6.12
Icon Silver Mix,200x200,Current Stock,in_stock,VE8E,34,1.36,24.999999999999996,9,11,317,12.680000000000001
Indicta Beige,600x600,Current Stock,in_stock,10/8,4,1.44,2.7777777777777777,3,2,14,5.04
Indicta Multi,600x600,Current Stock,in_stock,18/8,4,1.44,2.7777777777777777,8,,32,11.52
Indicta Multi,600x600,Current Stock,in_stock,15/8,4,1.44,2.7777777777777777,1,1,5,1.8
Lakea Grey,300x600,Current Stock,in_stock,0O01,6,1.08,5.555555555555555,11,2,68,12.24
Lakea Grey,300x600,Current Stock,in_stock,1M01,8,1.44,5.555555555555555,27,,216,38.88
